label,statement,speaker,context,justification
mostly-true,Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,patrick-murphy,a Florida Senate debate,"Murphy said that Rubio ""said Social Security and Medicare have weakened us as a people,' "" he said. In a speech in 2011, Rubio talked about government programs intended to help people and said, ""These programs actually weakened us as a people. ""Rubio argued that people no longer had to worry about saving once they viewed it as the governments job and that the government supplanted the role of families and religious institutions to help people in need."
mostly-true,"Across the country, $174 billion of the Recovery Act have been committed in its first 130 days.",joe-biden,a news release.,He said that $174 billion had been committed at the 130-day mark. Federal records show he was a little off. The administration's Recovery. gov site shows that $157. 8 billion had been committed.
TRUE,"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",bill-richardson,"a debate in Manchester, N.H.","None came close to today's price. Did that reserve lower prices?That's unclear, since the reserve remains today, even though  as Richardson himself points out  heating oil prices in New Hampshire are ""the highest ever."
TRUE,Twenty-five states have lower unemployment than Texas which is tied with Mississippi for more minimum-wage jobs than anywhere in the United States.,lloyd-doggett,an interview with ABC TV.,"Washington, which has a state minimum wage rate higher than the federal rate, had the lowest share of hourly workers paid at or below minimum wage, 1. 1 percent. In sheer numbers, Texas had 268,000 hourly workers earning minimum wage and 282,000 paid below the minimum wage, the bureau says, the most of any state by a wide margin. Almost 13 percent of the nations hourly workers paid at or below the minimum wage were in Texas, the second most-populous state with more than 25 million residents, or about 8 percent of the nations population, according to the U. S.  Census Bureau. Mississippi, with almost 3 million residents, had 34,000 and 29,000 hourly workers, respectively, earning the minimum wage or less."
half-true,"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",ian-prior,a Providence Journal commentary,"Ian Prior said, ""of the 20 bills [Rep.  David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage. ""In addition, 4 of the 10 amendments Cicilline offered passed. Priors point is that legislators in a minority party have no influence."
half-true,"Says Donald Trump has said he loves war, including with nukes.",priorities-usa-action,"an ad discussed on ""Meet the Press""","An ad by Priorities USA says Trump says he loves war, ""including with nukes. ""Trump did say the phrase ""I love war in a certain way. ""And Trump has said he wouldn't rule out using nuclear weapons. But that doesnt mean he is enthusiastic about them. He says they would be the weapon of last resort and that he believes nuclear proliferation to be the ""biggest problem, to me, in the world. ""It's worth noting that the Trump comment used in the ad wasnt about the United States using nuclear weapons, but about his belief that Japan might be better off if it had nuclear weapons. Readers can decide for themselves if Trumps positions are dangerous."
barely-true,"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.",david-pennington,a public meeting,"The mayor and gubernatorial candidate is correct that tax laws must begin in the House of Representatives. But because the bill called for a state agency -- and not lawmakers -- to levy the fee, a legislative law opinion deemed the approval process acceptable. Also, challenges to the bills constitutionality would be difficult because the Georgia Supreme Court has not overturned legislation that has been duly passed by both houses and signed into law. Pennington and others may not agree with the process, or how the hospital levy is classified, but the law appears not to be on their side."
mostly-true,"Every child born today inherits a $30,000 share in a national debt that stands at more than $13 trillion.",tim-pawlenty,"his book, ""Courage to Stand: An American Story""","On Jan.  1, 2011, gross federal debt stood at just over $14 trillion, which works out to $45,433 for every American. So both of the figures Pawlenty used have a basis in reality, but they do not relate to each other the way he suggested. If Pawlenty wants to stick with the $30,000-per-person figure, he should have said that debt stands at more than $9 trillion. Alternately, if he prefers to stick with the ""more than $13 trillion"" debt figure, he should say that the amount of debt per person exceeds $45,000."
FALSE,A strong bipartisan majority in the House of Representatives voted to defund Obamacare.,ted-cruz,a news release,"Cruz said that ""a strong bipartisan majority"" in the House of Representatives ""voted to defund Obamacare. ""Even if you consider the overall 230-189 margin to be a ""strong"" victory for backers of the measure, it doesnt qualify as ""bipartisan"" except in the most hyper-technical sense. Two Democrats out of the 190 who voted -- barely more than 1 percent of the partys caucus -- joined Republicans in voting for the bill. In our book, that doesnt qualify as much of a bipartisan action."
half-true,Proximity to high-voltage power lines lowers property values by as much as 30 percent.,friends-india-point-park,a web site,"Riley says that language was chosen on purpose. (Theres also some question about what the group means by ""proximity) but we wont get into that here."
FALSE,What the facts say is ...the best scenario for kids is a loving mom and dad.,reince-priebus,"comments on ""Meet the Press""","Priebus said, ""What the facts say"" is . . . ""the best scenario for kids is a loving mom and dad,"" as opposed to having same-sex parents. And overall, scholarly research shows that what matters to children is the quality and stability of the parenting, rather than the parents particular sex, gender or sexual orientation."
FALSE,Says Mark Neumann = Nancy Pelosi,scott-walker,campaign TV and radio ads,"Using Walkers logic, Walker could have linked himself to Pelosi. After all, he supported a provision in the bill at the time. Walker wouldnt agree with that comparison. And we dont agree with the Neumann-Pelosi one."
half-true,"To hear Gov. Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition.",barbara-buono,a gubernatorial campaign television ad,"Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition. ""Buono is right that nearly 400,000 New Jerseyans are out of work, but fewer people are unemployed now than when Christie became governor. Also, the state is faring better in job creation when employment gains are analyzed across the bulk of Christies time in office. Still, the governors aid cuts in 2010 to help close budget gaps resulted in higher tuition at two-year and four-year schools in the state."
barely-true,Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination.,donald-trump,"an interview on ""Meet the Press""","Trump said delegates seeking to change the convention rules to prevent his nomination ""cant do it legally. ""Under current rules, the delegates are bound to vote for whomever won their states primary or caucus (in most cases, Trump). But if this years rules committee votes to change the rules to thwart Trump, its well within its authority to do so. And intervention by the courts would be unlikely. Because political parties are private organizations, courts have said they can set their own rules."
pants-fire,Rebuilding three high schools will benefit 40 percent of Portland Public School students.,carole-smith,a press briefing,"But we dont agree with the way Smith reached her number, by using clusters, and we dont think Lincoln should be included when none of Lincoln will be rebuilt by the proposed bond measure. The school districts own projections show enrollment at the three rebuilt high schools will make up only a quarter of all high school students."
half-true,Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money.,H204TEXAS-PAC,an email blast.,"She added that the proposal ""does not encumber any state funds. ""And while the additional bond authority sought in the proposition would not cost state taxpayers--up front--state lawmakers could still exploit their standing authority, as before, to spend state revenue on related debt."
TRUE,Providence has the lowest crime rate in three decades.,david-cicilline,a debate,"For example, Cicilline is talking about the crime rate when the number his administration is using is the total number of crime reports, which is different. But when we looked closely, we found that those issues didn't actually affect the conclusion. For a discussion of those factors, CLICK HERE."
FALSE,On banning earmarks.,bill-nelson,Senate floor votes,"Going forward Sen.  Nelson will keep looking for ways to cut spending, while also fighting to make sure Florida gets its fair share of federal funding for things like ports, military bases and major projects that bring new jobs. ""Without a formal ban, Nelson -- who is up for reelection in 2012 -- is free to continue to pursue earmarks. But his Nov.  30 vote is an about-face from an earlier vote and his comments to reporters."
half-true,Says hes taken an 8% pay decrease in each of the nine years he has been in office.,gerald-daugherty,his campaign website,"Daugherty says on his campaign site that hes ""taken an 8% pay decrease in each of the nine years he has been in office. ""As a commissioner, Daugherty took a pay cut once. In fiscal 2004, his salary went down 1. 55 percent to $66,523. Daugherty also hasconsistently taken steps to ensure hes paid 8 percent less than fellow commissioners each year, though in one year his pay ran about 6 percent behind."
half-true,1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,facebook-posts,Facebook,"The Facebook posting from Occupy D. C.  said, ""1 percent of Americans are millionaires. 47 percent of House Reps.  are millionaires. 56 percent of Senators are millionaires. ""One recent study found that around 9 percent of all U. S.  households have net assets of more than $1 million. It's closer if you look only at income. The top 1 percent of Americans has an average income of $1. 5 million. But the relevant figure would be net worth. As for members of Congress, the most recent estimate shows that 42 percent of House members and 67 percent of senators are millionaires in net worth. That means the Facebook post is a bit high in its estimate of House millionaires and a bit low in its estimate of Senate millionaires. The numbers support the underlying point of the Facebook post -- that members of Congress are disproportionately wealthy. But not on the scale suggested."
barely-true,The decision for the United States to buy heavy water from Iran will directly subsidize Irans nuclear program.,paul-ryan,a news release,"Heavy water, which can be used to make a nuclear weapon, clearly is part of Irans nuclear program. And by reducing Irans heavy water stockpile, the purchase helps Iran comply with a nuclear agreement that is aimed at making it harder for the country to develop a nuclear weapon."
mostly-true,The Texas Department of Transportation... misplaced a billion dollars.,debra-medina,a debate.,The money never existed in the first place. But she didn't miss the point.
FALSE,A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,facebook-posts,a Facebook post,"A Facebook post said a judge's order means there's a ""Constitution exemption zone"" if you live ""within 100 miles of the United States border. ""There is a border search exception, which long predates the district court ruling, that allows officials at or near borders to search people and their possessions without obtaining warrants. Experts say thats not an exception to the whole Fourth Amendment. It's certainly not an exemption to the entire Constitution, which covers a wide range of rights, like freedom of the press and freedom of religion."
TRUE,"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",dave-yost,a campaign video,"The story did not mention Pepper or the city of Cincinnati. However, Peppers legislation, while beneficial to the city budget, did institute the tax collection in Cincinnati. And the experts we talked to said collecting the tax was the citys prerogative. Pepper cant duck responsibility for starting the tax in Cincinnati."
barely-true,"Mitch McConnell opposed ""legislation to create and protect Kentucky jobs . . . help for the unemployed. . . health care for Kentucky's children,"" and ""fair pay for women.""",democratic-national-committee,a television ad,"Actually, McConnell said he supported all of those values, but he didn't agree with Democratic methods for achieving them."
TRUE,"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",bob-donovan,an interview,"The mayor will propose his 2015 budget in September. Our rating Donovan said the number of Milwaukee police officers ""has not increased"" under Mayor Tom Barrett. And other measuring sticks offered by Barretts office show the same trend."
barely-true,Taxpayers subsidize 80 percent of each MARTA trip,brett-bittner,an interview,"I didnt use the ancillary figures in the budget,"" he said. ""Were still subsidizing over half as taxpayers, especially those of us who live and work in Fulton and DeKalb. ""In rebuttal, Harris points out every mode of transportation  including road building  is subsidized by taxes to some extent. That argument aside, Bittner was significantly off in assigning 80 percent of the costs of a MARTA trip to the taxpayer, even if he stands by the larger point."
pants-fire,"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",george-allen,,"It roughly equals the total 13-year expenses of Virginias state government between 1999 and 2012. Allen is not only exaggerating the spending total by President Obama and the Democratic leaders of Congress, he is doing it by including billions of dollars passed under a Republican president. So we have to set the meter ablaze."
TRUE,Says Milken Institute rated San Antonio as nations top-performing local economy.,julian-castro,his speech at the Texas Democratic Party State Convention in Houston,"San Antonio hasnt just been holding steady in the economic downturn; its been gaining ground, even compared to other Texas cities."
pants-fire,Says people in Africa literally walk two and three hundred miles in order to vote.,mike-bennett,comments made on the Senate floor.,"None of the African elections officials we spoke with heard of any case of someone walking 200 to 300 miles to vote. In fact, they wanted to know where Bennett got his information from. We searched news accounts of the recent elections in Chad, Uganda, Nigeria and elsewhere and found no instance of people walking hundreds of miles in order to vote."
TRUE,"Before World War II, very few people actually had health insurance.",james-carr,an interview,"Carr said before World War II, very few people had health insurance. While Carr doesnt take into account the advances in medical care over the past 75 years, hes right. Only about 10 percent of the U. S.  population had private health insurance then, generally from an employer-based system."
FALSE,Half of children struck by cars near schools are hit by parents driving children to school.,safe-routes-schools,a mailer,Were not suggesting that proponents of safer roads have trumped up a figure to champion a cause.
barely-true,"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.",rick-scott,comments to the press,"Scott has said repeatedly that Citizens has more than $500 billion worth of risk, but about $6 billion in cash surplus. But the $500-billion number vastly overstates what Citizens might have to pay in even the most vicious storm season imaginable. So those numbers are not the appropriate figures to use when determining whether the insurer ""is going to be able to pay the bill"" after a storm. Scotts statement ignores critical facts that would give a different impression."
barely-true,Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants.,conservative-renewal-pac,a TV ad.,"We were hampered by not being offered, or finding, the original described pledge. Still, Leppert''s camp confirmed that he at one time pledged respect for immigration enforcement being a federal issue. If so, our sense is that he acted in step with the police departments decade-old policy of leaving immigration-related inquiries to Uncle Sam -- which alone can be taken as sufficient to support the ""sanctuary city"" label. Then again, Leppert did not pledge to ""make"" Dallas into a sanctuary. His position was essentially status quo. Also, the county joined the Secure Communities program while he was mayor."
TRUE,Putting three Republicans in my Cabinet...is unprecedented.,barack-obama,a news conference,"It'd be one thing if Obama had appointed the Republican leader of the Senate to a high-level Cabinet position. That might move things toward some sort of reconciliation government, he said. ""But governing is way more sophisticated than these symbolic gestures. ""Whatever you make of the appointments, Obama is on solid ground when he said his three Republican Cabinet appointments were unprecedented."
